iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2005,2,15,California,Auburn,38.907241,-121.08435,"at the DMV on Enterprise Drive in Auburn, CA","02/15/2005: A pipe bomb was found at the Department of Motor Vehicles office in Auburn, California in the United States.  The device, which did not ignite and was safely dismantled, was composed of a piece of PVC pipe with duct tape, gun powder in the center and wires attached.  There were no casualties, nor damage in this incident, and the perpetrators are unknown. However, this was one in a series of incidents, two of which were confirmed to be eco-terrorism in Auburn within the month, and authorities were investigating whether the Earth Liberation Front (ELF) may have been involved in this particular case.",0,0,0,3,Bombing/Explosion,,.,2,Government (General),21,Government Building/Facility/Office,Department of Motor Vehicles,"offices of the Department of Motor Vehicles in Auburn, CA",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,Unknown,-99,6,Explosives/Bombs/Dynamite,14,Time Fuse,,.,,.,,.,,.,,.,,.,"a piece of PVC pipe with duct tape, gun powder in the center and wires attached",0,0,0,0,0,0,,.,,,"Authorities were investigating if this incident was related to an attempted bombing of the Placer County Courthouse in Auburn, CA two days earlier, and additionally, if there is any relation to several eco-attacks earlier in the year.","Don Thompson, ""Fifth bomb found, dismantled at Auburn DMV; eco-terror probed,"" Associated Press State & Local Wire, February 15, 2005.","""Pipe Bomb Found Near Auburn DMV Office,"" KCRA 3 Television Station, February 15, 2005.",,Eco Project 2010
2005,1,12,California,Auburn,38.88302,-121.078378,"in a commercial building under construction at 440 Auburn Folsom Road, part of the Parkhill Professional Center in Auburn, CA","1/12/2005: Five incendiary devices were discovered at a commercial building under construction the Parkhill Professional Center in Auburn, California in the United States.  The incendiaries, which were made of white and orange plastic five gallon buckets containing a gasoline and diesel mixture, affixed with pieces of wooden framing material,  a white plastic manual kitchen timer with green electrical wires leading to a fifteen minute road flare, wooden matches, a 9-volt Duracel battery, and electrical connectors, failed to ignite and were rendered inoperable by police at the scene.  As the devices did not function properly, there were no casualties, nor property damage in the incident.  A few days later, a letter signed by the Earth Liberation Front (ELF) was sent to various media outlets, claiming responsibility for this attempted arson as well as the one on two homes under construction in the Twelve Bridges community in December 2004 (122704).  Ryan Daniel Lewis was convicted of attempted arson and sentenced in this incident. Eva Rose Holland was also charged in this incident.",0,0,0,7,Facility/Infrastructure Attack,,.,1,Business,12,Construction,commercial building under construction at the Parkhill Professional Center,"commercial building under construction at the Parkhill Professional Center in Auburn, CA",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),Anti-land development; anti-construction,2,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"white and orange plastic five gallon buckets containing a gasoline and diesel mixture, affixed with pieces of wooden framing material,  a white plastic manual kitchen timer with green electrical wires leading to a fifteen minute road flare, wooden matches, a 9-volt Duracel battery, and electrical connectors",0,0,0,0,0,0,,.,,,"The perpetrators were also responsible for an attempted arson in 2004 and several later arsons in 2005, and were sentenced to federal prison time for their crimes.","FBI, ""Terrorism 2002-2005,""FBI, DOJ, 2005.","Federal Complaint, ""Three more arrests in Northern California ecoterrorism firebombing cases bring four federal grand jury indictments,"" FBI, Center for the Defense of Free Enterprise, March 2005.","""Pipe Bomb Found, Dismantled At California DMV Office,"" Dow Jones International News, February 15, 2005.",Eco Project 2010
2005,2,13,California,Auburn,38.896549,-121.076948,"outside Placer County Courthouse in Auburn, CA","02/13/2005: A homemade explosive device, which appeared to be a fertilizer bomb, was found outside of the Placer County Courthouse in Auburn California in the United States.  The bomb did not explode and police officers dismantled the device.  There were no casualties or damage in this incident and the perpetrators are unknown.  However, this was one in a series of incidents, two of which were confirmed to be eco-terrorism in Auburn within the month, and authorities were investigating whether the Earth Liberation Front (ELF) may have been involved in this particular case.",0,0,0,3,Bombing/Explosion,,.,2,Government (General),14,Judge/Attorney/Court,Placer County Government,"Placer County Superior Courthouse in Auburn, CA",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,Unknown,-99,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,possibly fertilizer bomb,0,0,0,0,0,0,,.,,,"Authorities were investigating if this incident was related to an attempted bombing of the DMV in Auburn, CA two days later, and additionally, if there is any relation to several eco-attacks earlier in the year.","""News in brief from Northern California,"" Associated Press State & Local Wire, February 14, 2005.","Don Thompson, ""Fifth bomb found, dismantled at Auburn DMV; eco-terror probed,"" Associated Press State & Local Wire, February 15, 2005.","""Explosive Device Found At Placer County Courthouse,"" KCRA 3 Television Station, February 14, 2005.",Eco Project 2010
1999,5,0,Washington,Cle Elum,47.19504,-120.939419,,"05/00/1999: Unknown perpetrators set fire to a log loader at a chip mill near Cle Elum, Washington in the United States.  There were no casualties reported in the incident, but the loader was destroyed, costing the mill $65,000.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,5,Industrial/Textiles/Factory,chip mill,"log loader at chip mill near Cle Elum, WA",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,The specific motive is unknown.,-99,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),65000,loader destroyed,,"Bryan Denson and James Long, ""Eco-terrorism casts shadow over Western states,"" The Star-Ledger, Newark, NJ, November 25, 1999.","Bryan Denson and James Long, ""First of four articles; Saboteurs Wage Violent War Over Environment,"" Newshouse News Service, October 12, 1999.",,Eco Project 2010
2005,2,7,California,Sutter Creek,38.393414,-120.803032,,"02/07/2005: At approximately 3:15 a.m. local time, seven firebombs were detonated at a newly constructed apartment complex in Sutter Creek, California, United States. Six of the firebombs were extinguished by the sprinkler system, but the seventh firebomb exploded and caused approximately $50,000 worth of damage to the complex, although no casualties resulted from this attack. The group Earth Liberation Front (ELF) claimed responsibility for this attack and subsequently three individuals were arrested and charged.",0,1,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,68,Named Civilian,Miwuk Indians,Jackson Rancheria Band members of the tribe,217,United States,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Current and future tenants of the apartment complex,217,United States,,.,,.,,,,.,Earth Liberation Front (ELF),Unknown,3,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),50000,"One firebomb caused approximately $50,000 in damage.  The extent of the subsequent water damage from the sprinkler system as well as the other 6 firebombs was not disclosed.",,"?Apartment complex fire may be tied to radical environmental group,? The Associated Press State & Local Wire, February 7, 2005.","Sam Stanton, ?Arson at Sutter Creek building site; A radical environment group is believed to have planted several devices,? Sacramento Bee, February 8, 2005.","?Three sentenced in firebombing attempts in Sierra foothills,? Associated Press Worldstream, March 18, 2006.",CETIS
1999,8,0,Oregon,Unknown,43.804133,-120.554201,,"08/00/1999: In a 100-letter booby trap letter campaign, animal rights group, The Justice Department claimed responsibility for sending out 100 letters rigged with razor blades to fur ranchers across the United States and Canada. In this particular incident, at least three Oregon ranchers received the letters, though there were no injuries reported among them.  In a related incident as part of this campaign, one woman in Pennsylvania was cut by the razor (80099a).  Not all of the letters were ever confirmed, reported or found.   The Justice Department claimed responsibility for the incident in a communiqu? posted to both their website and that of the Animal Liberation Front (ALF). This was one of two large-scale booby-trapped letter campaigns allegedly committed by this group; the second, (in October 1999) was to 80, or potentially more, scientists and researchers in the vivisection industry conducting research on primates at centers across the United States (102599a-k).",1,0,0,8,Unarmed Assault,,.,1,Business,9,Farm/Ranch,fur ranches in Oregon,three Oregon fur ranchers,217,United States,,.,,.,,,,.,,.,,.,,,,.,The Justice Department,To end the fur trade,-99,12,Other,,.,,.,,.,,.,,.,,.,,.,letters in envelopes rigged with utility razor blades affixed to index cards,0,0,0,0,0,0,,.,,,"This was one in a series of two incidents related to a larger letter campaign of 100 booby-trapped letters rigged with razor blades, that were sent to fur farmers across the United States and Canada, claimed by the animal rights group, The Justice Department. A few months later, the group committed another letter campaign against primate researchers across the U.S.","""Four Oregon researchers included on animal rights hit list,"" Associated Press State & Local Wire, October 27, 1999.","Bryan Denson, ""Animal Rightists Send Maiming Mail to Scientists,"" The Oregonian, October 27, 1999.","""Animal Rights Group Mails Razor Blades To Medical Researchers, Says Foundation for Biomedical Research; Group Warns of Wave of Violence If Primate Research Is Not Halted,"" PR Newswire, October 25, 1999.",Eco Project 2010
1997,5,6,Washington,Yakima,46.604135,-120.507049,,,0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,Planned Parenthood,clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,Incendiary,0,,0,,,1,,.,,,,,,,PGIS
2015,11,4,California,Merced,37.365797,-120.424771,,"11/04/2015: An assailant attacked students on the University of California campus in Merced city, California, United States. Four students were injured in the attack. The assailant was shot and killed by police officers. Faisal Mohammad claimed responsibility in a note left at the scene.",0,1,0,2,Armed Assault,,.,8,Educational Institution,49,School/University/Educational Building,"University of California, Merced",Campus,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,1,9,Melee,23,Knife or Other Sharp Object,,.,,.,,.,,.,,.,,.,A knife was used in the attack.,1,1,4,4,0,0,,.,,,,"""Attacker who stabbed students at UC Merced had ISIS flag, FBI says,"" CNN, March 18, 2016.","""ISIS goes global: Mapping attacks,"" CNN, December 29, 2015.","""FBI: ISIS inspired California student in campus stabbings,"" CBS News, March 17, 2016.",START Primary Collection
2001,10,15,California,Litchfield,40.38146,-120.383169,"at the Litchfield Wild Horse and Burro Facility  off of US Highway 395 in Litchfield, CA","10/15/2001: Six members of the Animal and Earth Liberations Fronts (ALF and ELF),  Stanislas Meyerhoff, Joseph Dibee, Jennifer Kolar, Darren Thurston, Rebecca Rubin, and Kevin Tubbs, placed four incendiary devices, each consisting of a five-gallon plastic bucket which contained a mixture of gasoline and a heavy petroleum distillate and timing devices, at the BLM Wild Horse Corrals in Litchfield, California in the United States.  The devices were ignited, and destroyed the barn, causing $207,497 in damages. There were no casualties in the incident.  On October 17, the perpetrators sent out a communique, claiming responsibility for the arson in the name of ELF, but also posting the letter on the ALF website.  In their statement, the group criticized BLM' slaughter of wild horses, and threatened future targeting of ""industries and organizations that seek to profit by destroying the earth.""  The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 arson and ecotage attacks over a 6 year period.",0,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),21,Government Building/Facility/Office,Bureau of Land Management,"Bureau of Land Management Wild Horse Corrals in Litchfield, CA",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),The perpetrators were against the slaughter of wild horses and the BLM policies towards the horses.,6,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,"Four incendiary devices, each consisting of a five-gallon plastic bucket which contained a mixture of gasoline and a heavy petroleum distillate, coupled with sophisticated delayed igniters with redundant dual timers. The timers were made of an electronic alarm clock functioning to complete an electric circuit between a 9-volt battery and a rocket igniter. The igniter was placed between matches surrounding a road flare. The road flare was on a lid above the bucket of fuel and served to ignite it.",0,0,0,0,0,1,3,Minor (likely < $1 million),207497,destroyed barn,"The incident occurred shortly after midnight.  The perpetrators were part of a group calling themselves ""The Family, ""which was made up of members of both ELF and ALF, and various combinations of members from the group committed nearly 20 arson and ecotage attacks over a 6 year period.  Tubbs was sentenced to 12 years and 7 months in prison, Meyerhoff was sentenced to 13 years in prison, Kolar was sentenced to 5 years in prison, Thurston was sentenced to 3 years and 1 month in prison, and Dibee and Rubin remained fugitives.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.",Eco Project 2010
2001,7,24,Nevada,Stateline,38.962408,-119.939903,,"07/24/2001: Members of the Earth Liberation Front (ELF) are suspected to be responsible for sabotaging a gondola at the Heavenly Valley Ski Resort in Stateline, outside of Lake Tahoe, Nevada in the United States.  The perpetrators attempted to derail the gondola transportation system by attaching a large piece of wood to the gondola cable using zip ties; this caused a sensor cable attached to two other towers to snap, leading to a potentially life threatening situation.  There were no casualties in the incident. At the base of one of the towers, the letters ""ELF"" were spelled out with zip ties. The incident caused about $2,000 in lost revenue.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,8,Hotel/Resort,Heavenly Valley Ski Resort,"gondola transportation system at Heavenly Valley Ski Resort in Stateline, NV",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),To derail the gondola transportation system at the Ski Resort,-99,11,Sabotage Equipment,,.,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),2000,,,"FBI, ""Terrorism 2000/2001,""FBI, DOJ, 2001.",,,Eco Project 2010
2015,3,9,Nevada,Reno,39.530155,-119.8142,,"03/09/2015: Assailants threw an incendiary device at a Kentucky Fried Chicken (KFC) in Reno, Nevada, United States. No one was injured in the attack, but a window was damaged. The Animal Liberation Front (ALF) claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,2,Restaurant/Bar/Caf?,Kentucky Fried Chicken (KFC),Restaurant,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,.,,.,,.,,.,,.,,.,A firebomb was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A window in the KFC restaurant was damaged in this attack.,,"""FBI probes possible domestic terrorism at Reno KFC,"" The Associated Press, March 10, 2015.",,,START Primary Collection
2001,10,15,Nevada,Reno,39.527395,-119.813414,,"10/15/2001: Six employees were tested for anthrax exposure after an envelope sent out by Microsoft to Malaysia was returned to the office in Reno, Washoe county, Nevada.  Authorities said the envelope was returned in strange condition and contained anthrax spores.  Four of the employees tested negative for types of anthrax poisoning except that contracted through the skin, while two employees were awaiting their results.  Although no group claimed responsibility for the attack, authorities and sources speculated that al-Qaeda could be behind the anthrax letters due to their recent attacks on the World Trade Center.",0,0,0,8,Unarmed Assault,,.,1,Business,4,Multinational Corporation,Microsoft office in Reno,Microsoft office and employees in Reno,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,"Although the specific motive for the attack was unknown, sources speculated that it was related to the other anthrax letters sent out across the United States, as well as to the World Trade Center attacks on September 11, 2001.",-99,1,Biological,,.,,.,,.,,.,,.,,.,,.,"A letter sent from Microsoft to Malaysia containing a check was returned.  It looked questionable, and contained pornographic images, as well as anthrax spores.",0,0,0,0,0,0,,.,,,,"""Four of six people tested in Nevada test negative for anthrax,"" Agence France-Presse, October 15, 2001.","Stephen Romei, ""US fights to defuse panic at anthrax,"" The Australian, October 15, 2001.","Phil Chetwynd, ""Three exposed to anthrax in New York amid fears of bioterrorism,"" Agence France-Presse, October 15, 2001.",UMD Schmid 2012
2001,2,20,California,Visalia,36.33377,-119.292914,,"02/20/2001: The Earth Liberation Front (ELF) claimed responsibility for setting fire to a cotton gin, owned by Delta & Pine Land Company, the largest seller and developer of transgenic cotton in the U.S.A.. The attack took place in Visalia, California when unknown perpetrators cut through a padlocked door, placed five gallon buckets of gasoline inside and set the cotton gin alight. ELF said that they perpetrated the attack to rid the environment of genetically altered cotton. In a written statement, the group wrote, ""we choose this warehouse because it contained massive quantities of transgenic cotton seek in storage. But now, this seed will no longer exist to contaminate the environment, enrich a sick corporation or contribute to its warped research programs."" Authorities are unsure if ELF is truly responsible or if they are just taking credit for the incident.",0,1,0,7,Facility/Infrastructure Attack,,.,1,Business,9,Farm/Ranch,Delta & Pine Land Company,"A cotton gin owned by the Delta & Pine Land Company in Visalia, California",217,United States,,.,,.,,,,.,,.,,.,,,,.,Earth Liberation Front (ELF),The perpetrators were protesting the use of transgenic cotton.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,,,"""Eco-terrorism group claims Tulare attack Fire may be radical ELF's first state foray,"" Sacramento Bee, March 4, 2001.",,,CETIS
1997,11,30,Oregon,Burns,43.58604,-119.054654,,"11/30/1997: Five members of the Animal and Earth Liberation Fronts (ALF and ELF), Jacob Ferguson, Kevin Tubbs, Josephine Overaker, William Rodgers, and Rebecca Rubin, freed horses and set arson to the Bureau of Land Management (BLM) Wild Horse Corral near Burns, Oregon in the United States, causing over $190,000 in damages.  The perpetrators placed incendiary devices at three locations in the barn and at two other locations, next to and inside a new tractor parked near the barn, then released the 500 horses, and placed different locks on the gates to the access road to block first responders from the scene.  There were no casualties in the incident.  A dozen horses escaped, but were subsequently recaptured, and none were injured. The BLM Horse Corral was targeted because the perpetrators  had read an article about an auction of wild horses in which buyers would adopt the horses and then sell them at a higher price to slaughterhouses, so the group wanted to ""help halt the BLM?s illegal and immoral business of rounding up wild horses from public lands and funneling them to slaughter,"" as they stated in their released communiqu?, claiming responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),21,Government Building/Facility/Office,Bureau of Land Management,"Bureau of Land Management, Wild Horse Corrals near Burns, OR",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"To ""help halt the BLM?s illegal and immoral business of rounding up wild horses from public lands and funneling them to slaughter;"" to stop the auctioning of wild horses and grazing cattle on public lands.",5,8,Incendiary,20,Gasoline or Alcohol,11,Sabotage Equipment,,.,,.,,.,,.,,.,incendiaries,0,0,0,0,0,1,3,Minor (likely < $1 million),193098,"released 500 horses from corrals and caused $120,987.61 in damages to the equipment and $72,110.69 to the building","The incident occurred at about 8:00am with smoke from the arson being detected at about 8:45am. The perpetrators were part of a group calling themselves ""The Family,"" which committed nearly 20 acts of arson and ecotage over a 6 year period.  Ferguson became a government informant and witness, landing him a sentence of 2 years probation, Tubbs was sentenced to 12 years and 7 months in prison for his involvement, and Overtaker and Rubin remained fugitive.  William Rodgers was initially charged by complaint in this case but committed suicide while in custody awaiting transportation back to Oregon.","U.S. Government?s Sentencing Memorandum for CR 06-60069, CR 06-60070, CR 06-60071, CR 06-60078, CR 06-60079, CR 06-60080, CR 06-60120, CR 06-60122, CR 06-60123, CR 06-60124, CR06-60125, and CR 06-60126. U.S. District Court: District of Oregon, Eugene, 2007.","Legal Affairs Editors, ""Animal Liberation Front and Earth Liberation Front Members Sentenced in Oregon for Acts of Eco-Terrorism in Five Western States,"" PR Newswire Association LLC,  Public Interest Services, June 5, 2007.","""Animal-rights groups say responsible for fire,"" The Daily News, Bowling Green, December 7, 1997.",Eco Project 2010
1997,3,17,California,Bakersfield,35.373222,-119.018793,,,0,0,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,Family Planning Associates,clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,1,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,Incendiary,0,,0,,,1,,.,,,,,,,PGIS
2015,9,30,California,Thousand Oaks,34.184851,-118.90688,,"09/30/2015: An assailant set fire to a Planned Parenthood Federation of America, Inc. facility in Thousand Oaks, California, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident.",0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,"Planned Parenthood Federation of America, Inc.",Facility,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,"The specific motive is unknown; however, sources noted that there were recent allegations against Planned Parenthood that it was profiting from tissue donations from fetuses for research, which Planned Parenthood denied.",1,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,Gasoline was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A planned parenthood building was damaged in this attack.,,"""CBS US News: Fire at Calif. Planned Parenthood facility deemed suspicious,"" CBS News, October 1, 2015.","""Planned Parenthood in Thousand Oaks reopens after arson attack,"" NewsOnFeeds.com, October 5, 2015.","""Fire at Planned Parenthood in Thousand Oaks Reportedly Determined to Be Arson,"" KTLA, October 1, 2015.",START Primary Collection
2014,11,23,Oregon,Pendleton,45.672075,-118.788597,,"11/23/2014: An explosive device detonated outside a civilian residence in Pendleton, Oregon, United States. Following the blast, assailants then opened fire on the residence. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the attack to the United Aryan Empire.",0,1,0,3,Bombing/Explosion,2,Armed Assault,14,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,House,217,United States,,.,,.,,,,.,,.,,.,,,,.,United Aryan Empire,,-99,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,5,Firearms,3,Handgun,,.,,.,,.,,.,An explosive device and a .45-caliber handgun were used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A house was damaged in this attack.,,"""Pendleton white supremacist gang leader sentenced to 13 years,"" The Associated Press, July 3, 2015.","""OREGON POLICE ARREST THREE IN STRING OF WHITE SUPREMACIST GANG VIOLENCE,"" Southern Poverty Law Center, January 15, 2015.",,START Primary Collection
1999,8,10,California,Granada Hills,34.278587,-118.502112,,"08/10/1999: A gunman armed with a submachine gun opened fire in the lobby of the North Valley Jewish Community Center in Granada Hills, California, U.S.A., injuring five people. Buford O'Neal Furrow Jr. surrendered to authorities in Las Vegas, Nevada and reportedly told police authorities that he intended the attack as ""a wake-up call to America to kill Jews.""",0,1,0,2,Armed Assault,,.,15,Religious Figures/Institutions,87,Affiliated Institution,Judaism,"The North Valley Jewish Community Center in Granada Hills, California",217,United States,,.,,.,,,,.,,.,,.,,,,.,Aryan Nation,He wanted to provoke other Americans into killing Jewish individuals.,1,5,Firearms,2,Automatic Weapon,,.,,.,,.,,.,,.,,.,,0,0,5,0,0,1,3,Minor (likely < $1 million),,,,"?Child critically injured in LA shooting,? The Irish Times, August 11, 1999.","Linda Gorov, ?LA shooting suspect tied to supremacists,? The Boston Globe, August 12, 1999.","Chelsea Charter, ?Shooting Unites Religious Groups,? The Associated Press, August 15, 1999.",CETIS
2006,6,30,California,Los Angeles,34.100246,-118.459463,Bel Air,"06/30/2006: An incendiary device that consisted of 'a bottle filled with a flammable liquid' was mistakenly left on the doorstep of a 70 year old Bel Air, California, United States, resident on June 30, 2006. The intended recipient was Lynn Fairbanks, a University of California ? Los Angeles (UCLA) professor of psychiatry and behavioral sciences who was also a neighbor of the victim. Since the bomb failed to detonate, no casualties resulted from this attack. Animal Liberation Front (ALF) claimed responsibility for this incident.",0,0,0,3,Bombing/Explosion,,.,8,Educational Institution,48,Teacher/Professor/Instructor,Unknown,"Lynn Fairbanks, a University of California ? Los Angeles (UCLA) professor of psychiatry and behavioral sciences",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),"In a statement posted on its website, ALF claimed that Fairbanks and her team were ""breeding monkeys for painful addiction experiments"".",,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,,.,,,,"City News Service, July 12, 2006.","?ANIMAL LIBERATION GROUP TAKES RESPONSIBILITY FOR TERRORIST ATTACK ON ELDERLY WOMAN WHO WAS UNINTENDED TARGET - REWARD FOR INFORMATION OFFERED,? US Fed News, July 12, 2006.","Julia Erlandson & Daily Bruin, ?Group claims it attempted bombing of UCLA faculty member's home,? University Wire, July 17, 2006.",CETIS
2006,7,12,California,Los Angeles,34.100246,-118.459463,Bel Air,"07/12/2006:The Animal Liberation Front (ALF) accidentally targeted an elder woman's house with a bomb in Bel Air, California, United States. The device failed to go off but authorities stressed that had it detonated it is very likely that the woman would have been killed.",0,0,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,,.,Unknown,Unknown,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),Unknown,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,,.,,,,"?Animal Liberation group takes responsibility for terrorist attack on elderly woman who was unintended target- Reward for information Offered.? US Fed News.  July 12, 2006.",,,CETIS
1998,3,26,California,Los Angeles,33.985215,-118.452109,,"03/26/1998:  Kathryn Schoonover sent envelopes filled with cyanide to several police officers, city officials, and mental health workers in Marina Del Rey, California, U.S.A.  No injuries were reported in the incident.",0,0,0,8,Unarmed Assault,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Marina Del Rey,"Police officers, city officials, and mental health workers in Marina Del Rey, California",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,1,2,Chemical,1,Poisoning,,.,,.,,.,,.,,.,,.,Cyanide mailed to victims inside of letters.,0,0,0,0,0,0,,.,,,,"""Woman Arrested in Post Office,"" The Associated Press, August 24, 1998.","Linda Deutsch, ""Bald, Emaciated Woman Arraigned in Cyanide-Mailing Case,"" The Associated Press, August 27, 1998.","John M. Glionna and Richard Winton, ""Suspect in Poisoning Try Has Troubled Life,"" Los Angeles Times, August 26, 1998.",CETIS
2007,6,24,California,Los Angeles,34.072557,-118.433845,"outside 465 Loring Ave., the residence of UCLA researcher","06/24/2007: An incendiary device and flammable liquids were planted next to the BMW vehicle of UCLA professor, Arthur Rosenbaum, outside of his residence at 465 Loring Avenue in Los Angeles, California in the United States. The device was lit, but because of a malfunctioned fuse, it did not ignite. Thus, there were no injuries, nor damage.  In a communiqu? issued to the North American Animal Liberation Press Office, the Animal Liberation Brigade claimed responsibility for the attempted firebombing, stating that Rosenbaum, who had been regularly harassed by animal-rights activists for his research work with cats and monkeys, should watch his back or he would face injections into his eyes like the primates. Though the L.A. field office for the U.S. Department of Justice ATF Bureau put out a $110,000 reward for information on the perpetrators, no individual perpetrators were identified from the anonymous claim.",0,0,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,48,Teacher/Professor/Instructor,UCLA Professor,"UCLA Professor, Arthur Rosenbaum's personal vehicle",217,United States,,.,,.,,,,.,,.,,.,,,,.,Revolutionary Cells-Animal Liberation Brigade,The group was against research and experiments conducted on animals.,-99,8,Incendiary,20,Gasoline or Alcohol,,.,,.,,.,,.,,.,,.,incendiary device w/ fuse and 1 gallon of fuel,0,0,0,0,0,0,,.,,,"The professor had been a target of harassment in the past by animal rights activists through phone calls, emails and intimidating threats screamed over bullhorns.","""Attempted Firebombing of UCLA Researcher's Car Investigated as Terrorism,"" City News Service, June 28, 2007.","Patrick Range McDonald, ""Monkey Madness at Ucla; Violent radicals aim to kill Jules Stein Eye Institute researchers who test on animals,"" LA Weekly (California), August 9, 2007.","""Reward Offered for Information Leading to Arrest of Those Responsible For Attempted Terrorist Attack at Home of University of California: Los Angeles Professor,"" US Fed News, July 24, 2007.",Eco Project 2010
